Item_ID	Sentence	Expression
33031:32	but if it was a formal dinner party i would probably think of something else like, uh,	probably
33102:68	but, um, if it was more formal like if i was, you know, working environment then i would probably, um, sh-, shell'em or at least disconnect them from the head.	probably
33209:97	and then we got into different um themes you know um whether it would be ethnic food or um sometimes it would be um oh oh i don't know maybe an outdoor theme or uh elegant theme or you know	maybe
33215:11	sometimes it might be the candlelight	might
33216:13	and sometimes it might be the picnic out back or something	might
33241:27	except that * knowing them they would probably do something ridiculous and terrible just just *-1 to uh make * sure that they didn't have *-2 to do it again	probably
33365:4	probably you have *-1 to heat it up for a good oh	probably
33686:11	that's probably the safer way	probably
33727:31	and at first after it happened i thought, maybe that's a handicap access,	maybe
33799:5	maybe ten to fifteen pounds like any other human being.	maybe
33837:23	i've been there like, maybe a dozen times.	maybe
33867:15	i thought 0 maybe one of these days i'll drive over there and check it out.	maybe
33893:50	but he, he kind of said something *ich*-1 to me about probably not as bad as your foot,	probably
33894:25	but he just said to me, maybe you ought *-1 to try bicycling	maybe
33898:8	you probably will *?* for a while, because it's going *-1 to be real tender.	probably
33962:18	uh, the ammunition is probably so old 0 i'm afraid *-1 to use it.	probably
33981:34	and like you, my bullets to my little pistol's probably, uh, about three years old.	probably
34010:180	i think, you know, 0 one of the things that, that, that *t*-1 needs *-2 to happen is, uh, * to, to stop the impulse buyer from, uh, *-3 buying it quickly and, and, uh, maybe putting a week's waiting period or something on it.	maybe
34251:83	bu-, bu-, you know, they know so, how much money *ich*-2 you make *t*-1 a week to, uh, probably your, uh,	probably
34264:23	they, they probably know everything from *ich*-2, half the time wh-, ho-, what time you go to the bathroom *t*-1.	probably
34266:8	they probably do.	probably
34331:35	i'm s-, i shouldn't probably say control.	probably
34605:5	maybe it's just the idea of my reaction to the first time.	maybe
34615:7	and maybe i just laughed so hard *ich*-1 the first time that i didn't have it,	maybe
34624:5	maybe so.	maybe
34918:7	so probably everything 0 i going *-1 to say *t*-2 is kind of dated.	probably
35060:18	none of it's probably damaging, lot of times.	probably
35149:47	if half of the time wasn't spent *-1 * watching commercials, it probably wouldn't be so bad.	probably
35418:33	and then the cadillac is, is definitely a used car	definitely
35426:21	he says 0 it'll probably be gone in a done,	probably
35427:13	and it's probably gone by now.	probably
35451:40	or do i look for a used car that *t*-1's maybe two, three years old that but that *t*-2's, you know, low mileage and in good shape.	maybe
35577:39	because one of these days i'll be getting a six seater probably too.	probably
35651:11	that's probably the best thing.	probably
35655:7	or maybe more than that, as i've learned.	maybe
35684:19	and i think, 0 maybe, as you get outside the dallas area,	maybe
35687:10	well, maybe because it's outside of dallas they are giving a little bit better prices,	maybe
35761:23	and i'm sure 0 he probably knew what *t*-1 was going on the very next day	probably
35989:32	and, and there's probably, there's easily probably six or seven times that amount being spent * on the bureaucracy.	probably
35989:51	and, and there's probably, there's easily probably six or seven times that amount being spent * on the bureaucracy.	probably
36092:49	i think that if, uh, young people had service to the country * might give them more ambition. because they learn that * serving other people is a good thing.	might
36139:32	that was a lot, that's probably the most fun 0 i had *t*-1.	probably
36480:20	maybe it, maybe it speeded up the process and all that.	maybe
36783:5	maybe in the backyard,	maybe
36784:35	but i don't see *-1 going on a camping trip probably until next summer.	probably
37032:11	that's probably more true than, a lot of people realize.	probably
37063:5	probably not enough,	probably
37127:30	this is, this is probably more interesting if it had been a male and a female.	probably
37129:21	i was afraid 0 we might get into an argument.	might
37133:39	well, uh, i guess uh, 0 there have been certainly a lot of changes *ich*-1 in the last couple of generations, for, uh, the roles of women	certainly
37137:30	and uh, i guess 0 the most significant probably is that so many are working now, and trying *-1 to juggle job and home and family and all sorts of other possibilities, you know,	probably
37268:26	that, that's definitely true.	definitely
37401:70	eve-, every once in a while, i will keep in, in touch, with maybe, like who *t*-1's in the top five of hitting, or something like that	maybe
37503:58	but i mean if you can't do it with men on base, there's something definitely wrong, um, you know,	definitely
37530:37	and they're, uh, they're certainly intense about the cardinals	certainly
37569:23	i, i definitely do,	definitely
37580:68	but if they were, uh, playing the people that they're going *-1 to play *t*-2, then that might be pretty good indication,	might
37635:16	um, that's probably true.	probably
37668:41	well and that, i think 0 that's maybe part of it that, that the, um,	maybe
37684:95	and, uh, you know, i mean, i, i guess 0 as we get older, i-, you're probably going,	probably
37695:75	an i, i, i would, i would think 0 baseball probably feeds on a number of people that *t*-1 can go out there, you know, several times a,	probably
37753:49	and, you know, and they're being paid *-1, probably half what most people being paid *-2 *t*-3.	probably
37841:20	but, uh, i can definitely, uh, see 0 on down the road, you know, where we do have kids and are getting to that age *t*-1, that's going *-2 to be a definite concern.	definitely
37865:118	and, you know, that's going * to, that's going *-4 to affect the people that *t*-1 are having kids in school, of course, which *t*-2 is probably the only fair thing 0 * to do *t*-3.	probably
37869:124	and, you know, it's going *-1 to really hurt the, the middle class, uh, people, i think 0 *t*-4. because, uh, they're the ones that *t*-2 will probably have *-3 to, to carry the brunt of the load.	probably
37956:17	i, maybe i'm wrong, because i haven't, you know, been in that kind of environment for a long time,	maybe
38155:31	so. everything's changed so much 0 i probably couldn't even get a job right now.	probably
38311:8	you probably use mumblex or something like that, for your, uh, data entry stuff that you're, talking about *t*-1.	probably
38412:11	i've maybe been into the office once in the past three years, you know.	maybe
38481:22	i read quite a bit, probably don't read as much as i would like *-1 to *?*.	probably
38506:24	uh, the road less travelled was probably one of my favorites.	probably
38527:13	well, um probably the best one that i, i know of *t*-1 and i work with *t*-1 all the time is called *-2 search for significance by robert mcgee	probably
38535:11	it's probably one 0 you'd find *t*-1 in like a christian book store.	probably
38545:10	um, probably * should stay on the topic,	probably
38823:24	i'd say 0 reading is probably one of my biggest ones, because it's the type of thing that you can, you can do *t*-1 a little bit at a time, whereas,	probably
38936:23	and it was about fifteen by twenty maybe.	maybe
39022:23	but i think 0 we're probably past that now.	probably
39023:8	i probably should go *-1 buy some.	probably
39027:33	i guess 0 if i had a house i might enjoy gardening, some.	might
39066:16	and so that's probably my problem there.	probably
39084:58	and i'd, i think 0 when i was real little *t*-1 i probably had a finger in on that every time 0 he did it *t*-2 and had *-3 to be out there and watch and that type of stuff.	probably
39150:19	and we thought, well maybe when they're a little bit bigger *t*-1 then we'll,	maybe
39179:40	if we were going *-1 to get anything now it would definitely be a cat, or even a bird or a fish tank or something, you know. something small	definitely
39190:65	because, you kind of, even, even a cat, you never know when they might bite or scratch or something *t*-1.	might
39194:17	they're not as likely *-2 to *?* as a dog might *?*, i guess 0 *t*-1.	likely
39194:39	they're not as likely *-2 to *?* as a dog might *?*, i guess 0 *t*-1.	might
39202:37	and if i was a cat or dog, i'd respond probably by *-1 biting or something.	probably
39208:27	but, well, i think 0 we probably reached our time limit.	probably
39214:4	probably	probably
39558:8	we might try *-1 to, to, um, to grill some flounder or salmon steaks.	might
39571:15	and, um, definitely go with, it will have *-1 to be a rice dish lots of vegetables, * to make up for the lack of meat.	definitely
39636:11	i'll might have *-1 to visit the state book store.	might
39894:21	and, and maybe they were *?*,	maybe
39962:52	i think, i think 0 that, that probably was the difference in that game.	probably
40027:20	one of those two will probably be, um, in there,	probably
40043:17	so, uh, that might help them.	might
40145:13	well, that might have been what it was *t*-1,	might
40149:17	i, maybe i misunderstood what they meant *t*-1.	maybe
40308:48	i'm kind of had different, different ideas from what probably the majority of people have *t*-1,	probably
40493:126	and, uh, when school lets out *t*-1, i just don't, i haven't, i have no idea what i'm going *-2 to do *t*-3, because i certainly can't afford what we did *t*-4 last year which *t*-5 was,	certainly
41103:8	everybody might not like that.	might
41220:63	and then, every time 0 you wanted *-1 to go *-2 eat with somebody *t*-3, you'd probably have *-4 to go to out, *-5 eat or something.	probably
41587:34	so. it, it, uh, definitely fluctuates mainly with what i'm going *-1 to be doing *t*-2 that day and kind of what my mood is *t*-3	definitely
41591:34	and when it's raining *t*-1, i'm more likely *-2 to wear jeans	likely
41594:48	and, and when it's really cold *t*-1 i'm more likely *-2 to wear jeans or pants or sweaters, or that type of thing.	likely
41621:26	just because it's, maybe it's just because of the sexist views and everything	maybe
41674:8	because maybe they, those are not the clothes that *t*-1 are the most, uh, appealing to you, or the most, uh, complimentary to you.	maybe
41698:8	again maybe because i was at the school, there were still many teachers who *t*-2 wore mini skirts,	maybe
41802:64	and they don't allow, uh, any sweat, any sweat shirts or t shirts that *t*-1 might have vulgar, or, you know, anything like that on it,	might
41815:87	whereas, uh, sometimes when you're in the suit and feel, kind of almost stiff and you're not, you know, maybe you don't, uh, can't get as comfortable *-2 to sit down *t*-1	maybe
41863:24	i guess 0 we've talked probably long enough.	probably
42156:13	and that's maybe what you were talking about *t*-1.	maybe
42178:87	i think 0 there's been, i think 0 there's been like six or seven of them, over the last like probably eight or nine months.	probably
42219:10	god, maybe i'll take it out.	maybe
42454:11	it would probably be somewhere closer to, uh, less control because i don't see,	probably
42525:21	but, but maybe we'll prevent a few john hinckleys.	maybe
42736:85	because i started *-2 shooting, my dad started *-3 letting me shoot like a little air b b gun, when i was probably five or six years old *t*-1.	probably
43129:13	this lawn could probably stand a couple of loads of dirt, and some saint augustine.	probably
43134:30	and we're just not real into the lawn probably because we're renting, i guess 0 *t*-1, huh?	probably
43364:21	i thought gosh i'd probably have nightmares for the next six months.	probably
43504:11	i should probably go back and read the book now that i just saw the movie again not too long ago.	probably
43690:65	if i ever get the hankering *-1 to see something, i've got, i don't know, maybe about thirty or forty movies	maybe
43819:30	cause when you're touristing *t*-1, you probably don't want *-2 to take the time *-3 to go *-4 see a movie.	probably
43921:46	and primarily, i mean, i, now i'm probably going * to, going *-1 to upset you.	probably
44024:12	which *t*-1 might be a bigger problem than it would be, uh,	might
44365:15	the poverty level is certainly, uh, you know, much worse in the latin american countries.	certainly
44367:59	i think 0 it has something 0 *t*-1 to do with the poverty level because africa is certainly not a catholic, uh, country,	certainly
44397:19	or like you say, maybe communication of * knowing that, hey, up in other english colonies, or previous english colonies, everything is equal and yet down there it's not *?*,	maybe
44400:80	you know, i think 0 communication does have a lot 0 *t*-1 to do with it, you know, in education, maybe.	maybe
44409:18	i think 0 it maybe has * to do with a lo-, a lot 0 *t*-1 to do with education	maybe
44502:8	it certainly is *?*.	certainly
44578:10	oh, possibly four.	possibly
44589:30	and if that weren't so, i would certainly have one.	certainly
44595:13	well, you might want *-1 to get yourself, uh, an animal that *t*-2 doesn't require much attention. like a cat.	might
44674:43	uh, and, and, you know, some people might not believe that	might
44743:193	well, the, see the problem is 0 if, if the, if someone would have came up to me and said it's going *-1 to cost you five hundred dollars *-2 to keep your dog alive. what do you want *-1 to do *t*-2? i probably would have had second thoughts.	probably
44857:187	and i think 0 one of the good ways of * solving that is to like, everybody likes *-1 to come to a party so * have a voting party and, uh, you know, like in communities and have the issues there and then everybody go *-2 vote together and then maybe come back over and have brunch or something.	maybe
44885:19	and ma-, maybe * let them have some mock, i mean uh, you know elections and stuff and vote for different people in their classes and start *-1 really young.	maybe
44895:10	however, probably not enough of them, uh, country wide.	probably
44944:34	and that's the reason 0 i said 0 maybe if you had something like a block party *t*-1.	maybe
44954:10	like, maybe they could give something	maybe
44996:18	and, uh, maybe if they, like you said, if they would start when little kids and start *-1 letting them vote and learn how * to vote and all *t*-3. then, uh, and the importance of it because, okay, if you don't vote for your friend over here, well your friend's not going *-2 to have a chance.	maybe
45029:14	and, uh, certainly if the youngsters had that opportunity that, you know, they, they understood that the principles of the country were established *-1 so that everyone would have a say and everyone would have a vote and what that vote meant *t*-2	certainly
45070:14	they would understand probably by the time 0 they were in high school *t*-1,	probably
45078:125	they would put them *-4 to realize that, that they're going *-1 to have *-2 to do what someone else says *t*-5 even though they didn't vote for it. and that maybe they need *-3 to think twice about *-6 voting.	maybe
45242:59	but, um, our chows, we've had them, i'd say *rnr*-1, right around six maybe seven years	maybe
45381:18	i mean, some maybe	maybe
45499:79	i wouldn't, i wouldn't dare *-1 have a, a goldfish here because, it would probably be in a small bowl	probably
45773:63	because, * got teams like, like buffalo who *t*-1 weren't, certainly weren't a powerhouse, uh, ten years ago.	certainly
46201:13	but, maybe we, maybe we'll get your guy.	maybe
46201:24	but, maybe we, maybe we'll get your guy.	maybe
46216:22	uh, in dallas there's definitely a crime problem,	definitely
46219:37	in fact, at the moment i'm thinking of *-1 possibly moving to a new apartment	possibly
46222:8	you definitely are going *-1 to worry about the location, and, uh, you know, accessibility *ich*-3 of people * to be able *-2 to break in.	definitely
46491:17	and i guess 0 maybe that's the way 0 tokyo is *t*-1 too, or japan is *t*-1 too.	maybe
46574:68	and i think that people know that they're going *-1 to get a slap on the wrist, they might serve a little bit of time and that they'll be out on the street again.	might
46658:11	it's definitely true because,	definitely
46698:62	but they're still, they're still a lot, i think 0 *t*-1, definitely better than the american carmaker system.	definitely
46700:28	oh, i, i definitely agree with you there,, because i had, uh, uh, uh, ford t bird before i got my honda,	definitely
46718:10	well, maybe you need *-1 to unload it on somebody el-,.	maybe
46720:16	well, i'll probably hold on to it since it's still under warranty	probably
46788:16	well, that's probably influenced maybe a little bit.	probably
46788:22	well, that's probably influenced maybe a little bit.	maybe
46791:4	definitely.	definitely
46809:8	i probably, uh,	probably
46824:13	but i'm definitely going *-1 to look for something, uh, in the, you know, nice, perpor-, you know,	definitely
46857:23	anyway, um, but i'll probably, um,	probably
46883:4	maybe someday.	maybe
46960:4	definitely.	definitely
47147:15	so, that's probably a pretty nice place 0 * to go *t*-1.	probably
47172:10	and then maybe * camp another night and drive home.	maybe
47213:8	they probably just don't spend as much money as a lot of other states might *?*.	probably
47213:49	they probably just don't spend as much money as a lot of other states might *?*.	might
47233:24	you know, you really can probably count thousands of stars,	probably
47282:36	the days, get up into the high eighties, uh, maybe the nineties	maybe
47466:5	maybe it was the other new york team which *t*-1 is the yankees,	maybe
47683:8	you probably can't afford *-1 to eat if you have more than two of them.	probably
47729:8	he probably has an income of thirty-five thousand,	probably
47751:21	you're just as blessed, probably more, because if you follow this,	probably
47793:42	but, um, it's kind of a different situation because you're probably living in an apartment, right?	probably
47966:28	well, that, that certainly can happen now if	certainly
48053:32	usually, uh, my husband was seldom home for maybe forty-five minutes or so	maybe
48120:15	and we certainly, uh, we need more of that,	certainly
48216:92	well, on a scale of one to ten, uh, being *ich*-1 ten, no, kind of legislation and zero being, uh, total ban, i probably would lean more towards six or seven.	probably
48247:10	but it certainly didn't get any better.	certainly
48256:13	but you should definitely have the character search and the seven day holding period and things along that nature, uh, you know,	definitely
48284:7	and maybe they just don't report those	maybe
48296:30	um, and i don't think 0 i probably ever would *?*, um, although i would like *-1 to know how *-2 to handle one *t*-3,	probably
48301:30	um, you just never know when you might come into contact with one *t*-1.	might
48344:63	most of that's done *-1 with rifles and such. uh, though there's, you know, probably i'm sure 0 *t*-3 some sector that *t*-2 does it with handguns.	probably
48361:28	but i, i think definitely,	definitely
48368:11	i would definitely support that.	definitely
48372:123	i, i, i agree 0 the thing *ich*-2 that *t*-1 scares me, uh, though about where i would, i would wa-, definitely want some sort of legislation *t*-3	definitely
48502:105	and we use the computers a great deal for word processing, you know, because students really do seem *-1 to be freer when they write on the computer *t*-2, as you probably found out yourself,	probably
48680:26	and even for a personal computer it's probably smart * to spend that much,	probably
48762:23	um, i think 0 it might have a spelling editor on it,	might
48832:14	and that's probably the way 0 i feel *t*-4 about it is, is, uh, it kind of depends on the crime that *t*-2's committed *-3.	probably
48841:5	probably pretty similar views on it,	probably
48847:35	well, there's, there's probably two or three different types of, of views as far as the controversy goes.	probably
48892:32	and that's, that's certainly no kind of deterrent,	certainly
48898:15	and you can, probably spend, uh, a lot of time, uh, or * maybe eventually, uh, just waiting it out,	probably
48898:54	and you can, probably spend, uh, a lot of time, uh, or * maybe eventually, uh, just waiting it out,	maybe
49054:8	it might be,	might
49055:24	i would say 0 it's probably midsized for the area.	probably
49064:18	it is, uh, probably ten years old.	probably
49175:18	uh, reasonable construction would probably run you, uh, right now anywhere between, somewhere between a hundred and a hundred and forty thousand dollars.	probably
49176:7	and probably, perhaps, cheaper, depending upon the neighborhood.	probably
49231:46	like most areas that *t*-1 are built *-2, um, there were probably, like two or three styles 0 you could choose from *t*-1.	probably
49235:62	and, and, uh, that's pretty much all the houses in the area, for probably a square mile, i'd say, at least, maybe even a little bit more than that.	probably
49235:93	and, and, uh, that's pretty much all the houses in the area, for probably a square mile, i'd say, at least, maybe even a little bit more than that.	maybe
49239:11	maryland is probably one of the most expensive, places 0 * to,	probably
49313:207	on a, on a, on a, what we would, you know, what you described *t*-2 as your house and what i would describe *t*-1 as my house say, for example, in pensacola, florida, on that house with the homestead exemption and so forth and so on, * might pay three or four hundred dollars a year taxes.	might
49314:21	may-, maybe, you know, maybe a little bit higher than that now,	maybe
49314:42	may-, maybe, you know, maybe a little bit higher than that now,	maybe
49331:107	uh, so, the question of whether * to buy here or move to another county, say, drive twenty more miles north, buy a condominium for approximately, uh, the same price, maybe a little lower,	maybe
49334:37	but the taxes would be, you know, perhaps, maybe one-third uh, of,	maybe
49075:47	* let's say 0 compared to maryland, that same house here would probably cost three-quarters of a million dollars	probably
49526:10	the mazda definitely did not.	definitely
49558:9	so, probably what i'll do *t*-1 again.	probably
49639:11	mine was definitely not impulse	definitely
49744:31	well, i think 0 we're on, maybe.	maybe
49814:181	but i think, uh, actually, uh, in, in *-3 trying *-1 to follow, uh, you know the cowboys over the years i think, uh, uh, 0 they used *-2 to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years uh,	probably
49908:73	spring training until you actually start *-1 going out and getting, uh, getting out against the competition everything probably looks pretty good.	probably
49960:203	but, of course, you know, the, the, the one, the griping is that if, you know, if, if washington doesn't get a, uh, a baseball team then baltimore shouldn't get a football team. which *t*-1 is probably true,	probably
50200:18	and it's certainly, and it's certainly been going on over there for hundreds of years.	certainly
50200:34	and it's certainly, and it's certainly been going on over there for hundreds of years.	certainly
50368:11	that's probably true,	probably
50369:11	that's probably true.	probably
50831:13	and it was definitely voluntary, too.	definitely
50865:23	and they do fire prevention work and certainly things of that sort.	certainly
50876:11	it's probably a, a very good way 0 * to keep them off the streets and out of trouble *t*-1,	probably
50961:16	not insofar as * maybe making conversation with somebody, i suppose *t*-2, because it, you can easily be overhear-, overheard *-1	maybe
51130:26	i, i can probably go on,	probably
51135:8	i probably better *-1 let you get back to work.	probably
51230:40	i mean, the guy's twenty, twenty-five home rums, maybe thirty, eighty some r b i-s.	maybe
51390:39	i'll be, i'll be upset probably even though my prediction will be right.	probably
51841:54	i'm scared, i would be scared to death 0 my child might accidentally get out,	might
51958:32	and i'm, i'm probably a little too over protective	probably
52021:30	i haven't been to a movie theater in probably eight or nine months,	probably
52026:13	but i rent probably four or five movies a week.	probably
52061:74	i, i guess 0 one of my favorite, well two of my favorite movies is probably like lethal weapon and lethal weapon two.	probably
52109:40	i, i have *-1 to say that probably the one movie that *t*-2 really threw me back the most, uh, that i was really the most in shock with *t*-3 was probably, uh, star wars.	probably
52109:119	i, i have *-1 to say that probably the one movie that *t*-2 really threw me back the most, uh, that i was really the most in shock with *t*-3 was probably, uh, star wars.	probably
52145:11	that's probably something 0 i need *-1 to see *t*-2 right now because i'm taking history in school.	probably
52149:13	so it'd probably be a good thing 0 for me to see *t*-1.	probably
52259:36	we, we actually rent, uh, probably a go-, good combination of movies with the exception of horror films.	probably
52314:16	you know students might try *-1 to do it.	might
52318:14	well that's probably true.	probably
52420:11	that's probably true,	probably
52421:11	that's probably true.	probably
52462:13	that one is definitely worth * seeing,	definitely
52595:8	we definitely have lost the judeo-christian ethic of the judicial system for sure,	definitely
52629:11	there would probably be very few exceptions to that	probably
52723:18	i feel like that might be better, if it was run *-1 on a more scriptural basis, which *t*-2 would include, you know, you know, and * expediting the penalties and just getting it over with.	might
52766:30	uh, we try *-1 to go once, maybe twice a summer. uh, we, uh, just, you know, for like a short weekend or something.	maybe
53385:73	oh, um, uh, i usually don't get *-1 to hea-, hear any of the current events probably until about the ten o'clock news.	probably
53507:15	i mean, probably * would have paid the same amount	probably
53547:24	i mean, because that would definitely look like another korea,	definitely
53738:34	i mean, that's, that might be the only thing.	might
53739:37	but, i mean, i, i definitely agree with you.	definitely
53755:8	i definitely agree.	definitely
53808:46	i saw something on the news, oh, i don't know, maybe two weeks ago.	maybe
53830:8	i definitely agree with parents.	definitely
53838:50	i mean, either way. you know, i, i definitely had *-1 to disagree with that.	definitely
53899:15	so, they're definitely going *-1 to work towards *-2 being good, you know, rather than trying *-3 to act up and be bad, you know.	definitely
53909:22	, i mean, my kids definitely get spanked *-1 when they need they need *-2 to be spanked *-3 *t*-4.	definitely
53979:18	it's more like maybe projects or something on the weekend.	maybe
54139:27	but, but it's certainly something that *t*-1 has a lot of things 0 * to talk about *t*-2.	certainly
54385:7	and maybe if the world could have given them some type of aid.	maybe
54605:26	i thought 0 it was kind of maybe for kids more, than ad-,	maybe
54625:46	well if you, if you liked beetlejuice you'll probably like edward scissorhands,	probably
54626:29	if you didn't like beetlejuice you'll probably won't like edward scissorhands.	probably
54718:23	i, i might have seen part of that because the name sounds familiar although i wo-, i would remember, i think 0 *t*-1 in, with him in it.	might
54787:16	um, you've probably seen him	probably
54872:15	so, we're probably going *-1 to like rent those some time and then try *-2 to see godfather part three somewhere.	probably
54938:8	i probably saw parts of those.	probably
54951:15	and then the titles might sound familiar	might
54955:28	of the three of those, diner's probably the best.	probably
55017:20	and, uh, i was probably the only one in the room several times when we were watching football on t v *t*-1 when the cowboys were playing the saint louis cardinals *t*-2	probably
55026:69	and i think 0 that's quite a bit of optimism *ich*-1 around here that still there's a chance that maybe, uh, these guys are right, maybe they will come through and, and do something this year.	maybe
55026:93	and i think 0 that's quite a bit of optimism *ich*-1 around here that still there's a chance that maybe, uh, these guys are right, maybe they will come through and, and do something this year.	maybe
55035:15	and you know maybe the stuff that, uh, jerry jones is talking about *t*-1 the construction and * redefining the team and maybe the effort might be starting *-2 to pay off.	maybe
55035:75	and you know maybe the stuff that, uh, jerry jones is talking about *t*-1 the construction and * redefining the team and maybe the effort might be starting *-2 to pay off.	maybe
55035:83	and you know maybe the stuff that, uh, jerry jones is talking about *t*-1 the construction and * redefining the team and maybe the effort might be starting *-2 to pay off.	might
55095:11	he's probably like a lot of quarterbacks, uh,	probably
55115:21	i think 0 they will probably win one or two more games than they did this year,	probably
55117:11	they'll probably get everybody's hopes up and blow it toward the end.	probably
55123:44	uh, i'm figuring either one either the eagles or possibly san francisco	possibly
55289:11	there's probably five or six, which *t*-1 would be an equivalent of our joint chiefs of staffs, that *t*-2 are in positions over some of these soviet states.	probably
55317:74	if the bombs don't get you, if the bullets don't get you, then, then the nerve gas definitely will get you.	definitely
55342:4	definitely.	definitely
55445:13	but it's definitely a task.	definitely
55667:32	i guess then 0 the water aerobics would be probably the best thing for you, wouldn't it *?*?	probably
55765:28	i think 0 i have gone home maybe once or twice *-1 slightly sore.	maybe
55797:18	i'm considering *-1 maybe even buying one of those too.	maybe
55863:16	it'd probably be, it'd probably be good,	probably
55863:33	it'd probably be, it'd probably be good,	probably
55881:199	but i, i felt strongly then that even if they didn't feel like they could kill someone, or go into a military situation, that they could help the country in other ways. be it * cleaning out, uh, lots, in, in their neighborhood or, whatever kind of community or public service *t*-2 might be available.	might
55892:20	i just see that as maybe a good idea.	maybe
55958:10	uh, definitely.	definitely
55960:8	it might not be the same neighborhood, but the same city or county, because then you're, you're coming in contact with it.	might
56017:30	the adults, uh, ahead of it would probably never serve and, and to each succeeding generation.	probably
56018:8	there definitely would have *-1 to be a major p r campaign in each community, each county, uh, parish or however the state was divided *-2 up *t*-3.	definitely
56066:97	and, um, i'm pretty sure i saw, yeah, stuff *ich*-1 in ohio and indi-, indiana *ich*-2 about it and pennsylvania, maybe pennsylvania,	maybe
56096:55	and i, i'm worried that it, it might, you know, it'll, it, the same thing will happen.	might
56104:117	and if you look at history at all, you see that, you know, uh, we go from one side to the other on just about any subject, that you, one might care *-1 to bring *t*-2 up.	might
56116:19	it *exp*-1's just probably a good thing that the oil's burning and may, may, make some people realize that hey, you know, this stuff runs out.	probably
56120:19	of course, that's probably blasphemy 0 for you to say *t*-3, uh, *-2 coming from where you are *t*-1 in texas.	probably
56847:60	maybe not in a, in a deep philosophical sense, but in a selfish sense, it probably would *?*.	probably
56934:7	and certainly that's true in the overall,	certainly
56937:184	when they especially when someone, they,, they don't vote for someone because they don't like any of them and then the person gets in and they don't like him and he turns out *-1 to have been worse than her that they might have voted for *t*-2, or something like that *t*-3.	might
56996:15	well, uh, maybe they should *?*,	maybe
57037:24	maybe it should, maybe it should be *?*.	maybe
57106:83	and, there's a notion that somehow, if someone isn't as much as a government person, they're less corrupt and they're more likely *-1 to be good which *t*-2 is really strange,	likely
57415:15	i think 0 maybe it was nine ninety-nine or something.	maybe
57464:62	i haven't gotten really involved in anything, uh, extensive in car repairs in, oh, oh, probably a year or so.	probably
57559:49	i mean, though for what you could get *t*-1 for one, you might as well drive it over a cliff.	might
57568:13	and that was probably one of the most miserable things 0 i had gotten into *t*-1 in a long time.	probably
57615:22	i don't notice it, probably because i don-,	probably
57626:7	but maybe because i'm not looking for it.	maybe
57824:28	so i guess 0 i've done probably, uh, i'd say seven or eight of them.	probably
57844:5	maybe they're burnt out or,	maybe
57859:16	and so there's probably a lot of things 0 i remember *t*-1 and a lot of things that i really didn't have a clue as to what *t*-2 was happening *t*-3.	probably
57863:25	um, * looking back, like maybe some of the things that i know *t*-1 now, i, i'm not sure 0 i do believe 0 it was worth the cost in dollars and lives.	maybe
57875:28	you know, i just feel like maybe we went in *-1 to be policeman	maybe
57890:19	don't you think that maybe that's why we had it this time *t*-1?	maybe
57892:17	but i feel like maybe the american people and, and the government are aware of the things that we did *t*-1 wrong that we didn't support that, that those,	maybe
57957:58	uh, you know whether it was justified or not, i know, that *t*-1 they probably felt like we were going in for a good cause.	probably
57958:30	i, i feel like maybe they felt like we were doing the right thing *-2 to try and help *-1 maintain the democracy over there and, and beat the communism,	maybe
58006:15	i think that maybe a lot of the arab countries that *t*-1 were so hateful towards the united states have come away with, uh, kind of a different attitude.	maybe
58010:20	uh, i think that maybe we're not their big bad enemy any more.	maybe
58278:23	except i think, that they probably just said well, we're just going *-1 to start *-2 using the things now	probably
58281:74	of course, * being part of the european community, if everybody else did it they, they were probably much more,	probably
58285:30	that's, that's probably true	probably
58316:59	but human nature being such as it is *?*, i would think 0 it would take, probably, two or three years before people co-, could completely cut the cord.	probably
58439:25	so we, we definitely have different tastes,	definitely
58929:11	you probably could *?*,	probably
58930:8	you probably could *?*,	probably
58949:23	well, uh, the roles have definitely changed in the last generation or so.	definitely
59082:23	and, if i'd of probably had three or four children, i don't see how *t*-2 we could have made it, you know, without me working *t*-1.	probably
59084:32	but that's, that's probably because, you know, if you had three, you, you know, would say, if i'd of had four.	probably
59086:16	but in essence you probably would have worked out fine.	probably
59202:11	they're probably going, oh, i bet 0 she can't get pregnant	probably
59228:32	now, she says that, you know, maybe when she's thirty *t*-1 she might want a child then.	maybe
59228:55	now, she says that, you know, maybe when she's thirty *t*-1 she might want a child then.	might
59338:67	um, i guess 0 on a one, a scale of one of ten i'm probably around a two in terms of fair * restricting guns	probably
59365:70	and on top of that *-1 spending a good portion of my earlier years in the military, as a green beret, i definitely respect the power of weaponry.	definitely
59469:18	i mean, i certainly feel that if, if, we may disagree on when someone should own a fire arm *t*-1	certainly
59470:17	but, uh, i certainly agree that if someone owns a fire arm that have as much responsibility * to know how * do, use it safely *t*-2 as someone learns how * to drive *t*-1, if not more so.	certainly
59632:56	well as, as someone who *t*-2 would, would possibly be in the role of an independent bystander, i feel more comfortable with people having blades because, uh, you're not going *-1 to get bullets flying around *-3 killing people instantly	possibly
59647:8	they probably, need *-1 to change it somehow, uh,	probably
59649:87	we've just got too many people in there, and, uh, mumblex, are putting too many, uh, people *ich*-1 in jail that *t*-2 probably don't need *-3 to be there	probably
